section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
2,1,29,20210909_Xyln_02_1.tif,3.209,3.277,0.897,0.506,7.765,0.837,1.771,0.565,0.93
2,1,30,20210909_Xyln_02_1.tif,5.477,3.417,0.89,0.736,176.772,0.916,1.209,0.827,0.943
2,1,31,20210909_Xyln_02_1.tif,4.43,3.201,0.273,0.227,0,0.976,1.2,0.833,1
2,1,32,20210909_Xyln_02_1.tif,1.433,3.524,0.785,0.584,2.194,0.907,1.344,0.744,0.955
2,1,34,20210909_Xyln_02_1.tif,3.955,3.731,0.903,0.439,171.151,0.791,2.057,0.486,0.939
2,1,35,20210909_Xyln_02_1.tif,6.138,3.899,0.766,0.472,4.583,0.794,1.625,0.615,0.916
2,1,36,20210909_Xyln_02_1.tif,4.72,4.121,0.641,0.586,46.079,0.913,1.093,0.915,0.955
2,1,37,20210909_Xyln_02_1.tif,5.634,4.366,0.971,0.55,154.478,0.817,1.765,0.567,0.922
2,1,38,20210909_Xyln_02_1.tif,3.892,4.358,0.808,0.639,169.796,0.952,1.264,0.791,0.965
2,1,39,20210909_Xyln_02_1.tif,1.459,4.448,0.637,0.46,161.094,0.821,1.385,0.722,0.896
2,1,40,20210909_Xyln_02_1.tif,2.283,4.595,0.77,0.577,150.44,0.945,1.335,0.749,0.962
2,1,41,20210909_Xyln_02_1.tif,3.201,4.757,0.817,0.601,163.084,0.906,1.358,0.736,0.944
2,1,42,20210909_Xyln_02_1.tif,4.739,4.799,0.825,0.561,154.478,0.907,1.471,0.68,0.939
2,1,43,20210909_Xyln_02_1.tif,0.844,4.994,0.852,0.645,162.555,0.938,1.321,0.757,0.953
2,1,44,20210909_Xyln_02_1.tif,5.619,4.974,0.876,0.46,156.338,0.807,1.906,0.525,0.924
2,1,45,20210909_Xyln_02_1.tif,1.768,5.047,0.804,0.575,168.75,0.915,1.397,0.716,0.957
2,1,47,20210909_Xyln_02_1.tif,2.773,5.267,0.806,0.533,161.59,0.906,1.511,0.662,0.943
2,1,48,20210909_Xyln_02_1.tif,5.171,5.43,0.708,0.592,176.313,0.942,1.197,0.836,0.951
2,1,49,20210909_Xyln_02_1.tif,0.53,5.632,0.643,0.584,157.373,0.944,1.1,0.909,0.958
2,1,50,20210909_Xyln_02_1.tif,1.333,5.642,0.683,0.59,169.785,0.956,1.158,0.863,0.954
2,1,51,20210909_Xyln_02_1.tif,2.159,5.665,0.66,0.594,142.679,0.953,1.11,0.901,0.945
2,1,52,20210909_Xyln_02_1.tif,4.496,5.668,0.796,0.545,159.849,0.833,1.462,0.684,0.915
2,1,53,20210909_Xyln_02_1.tif,5.885,5.833,0.762,0.577,164.999,0.917,1.321,0.757,0.955
2,1,54,20210909_Xyln_02_1.tif,2.891,5.982,0.691,0.529,20.516,0.941,1.308,0.765,0.959
2,1,55,20210909_Xyln_02_1.tif,4.112,6.152,0.674,0.463,163.121,0.918,1.455,0.687,0.929
2,1,56,20210909_Xyln_02_1.tif,1.004,6.211,0.704,0.504,169.026,0.923,1.397,0.716,0.961
2,1,57,20210909_Xyln_02_1.tif,1.904,6.234,0.913,0.473,163.062,0.812,1.932,0.518,0.931
2,1,58,20210909_Xyln_02_1.tif,4.917,6.298,0.68,0.544,9.512,0.929,1.25,0.8,0.952
2,1,59,20210909_Xyln_02_1.tif,3.501,6.375,0.749,0.424,161.997,0.791,1.766,0.566,0.898
2,1,60,20210909_Xyln_02_1.tif,5.789,6.434,0.842,0.491,175.281,0.861,1.715,0.583,0.95
2,1,61,20210909_Xyln_02_1.tif,1.62,6.746,0.731,0.466,1.955,0.908,1.57,0.637,0.954
2,1,62,20210909_Xyln_02_1.tif,4.423,6.742,0.735,0.438,165.316,0.858,1.677,0.596,0.954
2,1,63,20210909_Xyln_02_1.tif,0.809,6.797,0.676,0.418,1.243,0.874,1.618,0.618,0.945
2,1,64,20210909_Xyln_02_1.tif,2.53,6.836,0.672,0.467,178.535,0.934,1.437,0.696,0.959
2,1,65,20210909_Xyln_02_1.tif,3.372,6.886,0.678,0.472,165.022,0.919,1.438,0.696,0.937
2,1,66,20210909_Xyln_02_1.tif,5.364,6.908,0.814,0.477,161.963,0.845,1.706,0.586,0.926
2,2,1,20210909_Xyln_02_2.tif,3.78,0.269,0.87,0.317,9.245,0.616,2.746,0.364,0.872
2,2,2,20210909_Xyln_02_2.tif,4.609,0.542,1.004,0.748,7.611,0.892,1.343,0.745,0.936
2,2,3,20210909_Xyln_02_2.tif,2.946,0.538,0.694,0.466,136.862,0.866,1.489,0.671,0.899
2,2,4,20210909_Xyln_02_2.tif,1.402,0.557,0.792,0.589,3.017,0.913,1.344,0.744,0.939
2,2,5,20210909_Xyln_02_2.tif,0.562,0.652,0.834,0.522,165.249,0.877,1.598,0.626,0.938
2,2,6,20210909_Xyln_02_2.tif,3.65,0.802,0.766,0.578,14.498,0.911,1.325,0.755,0.943
2,2,7,20210909_Xyln_02_2.tif,6.475,0.73,0.805,0.392,163.672,0.759,2.055,0.487,0.909
2,2,8,20210909_Xyln_02_2.tif,5.542,1.028,1.079,0.718,179.921,0.856,1.503,0.665,0.948
2,2,9,20210909_Xyln_02_2.tif,1.96,1.091,0.767,0.701,161.913,0.919,1.093,0.915,0.938
