spp,wl,Transm
A.pras,722.582,0.96457
A.pras,722.856,0.96546
A.pras,723.13,0.96516
A.pras,723.404,0.96548
A.pras,723.678,0.96665
A.pras,723.952,0.96652
A.pras,724.226,0.9657
A.pras,724.5,0.96679
A.pras,724.774,0.96808
A.pras,725.048,0.96688
A.pras,725.322,0.96836
A.pras,725.596,0.96798
A.pras,725.87,0.96805
A.pras,726.144,0.96955
A.pras,726.418,0.96996
A.pras,726.692,0.96902
A.pras,726.966,0.97001
A.pras,727.24,0.96935
A.pras,727.514,0.97011
A.pras,727.788,0.96929
A.pras,728.062,0.96955
A.pras,728.336,0.97078
A.pras,728.61,0.97134
A.pras,728.884,0.97081
A.pras,729.158,0.97097
A.pras,729.432,0.9715
A.pras,729.706,0.97098
A.pras,729.979,0.97182
A.pras,730.253,0.97078
A.pras,730.527,0.97277
A.pras,730.801,0.97278
A.pras,731.075,0.97257
A.pras,731.349,0.97387
A.pras,731.623,0.973
A.pras,731.897,0.97292
A.pras,732.171,0.97365
A.pras,732.445,0.97391
A.pras,732.719,0.97327
A.pras,732.993,0.97344
A.pras,733.267,0.97304
A.pras,733.54,0.97249
A.pras,733.814,0.97317
A.pras,734.088,0.97451
A.pras,734.362,0.97283
A.pras,734.636,0.97362
A.pras,734.91,0.97478
A.pras,735.184,0.97398
A.pras,735.458,0.97454
A.pras,735.732,0.97431
A.pras,736.005,0.97517
A.pras,736.279,0.97529
A.pras,736.553,0.97541
A.pras,736.827,0.97455
A.pras,737.101,0.97466
A.pras,737.375,0.97476
A.pras,737.649,0.97503
A.pras,737.922,0.97554
A.pras,738.196,0.97503
A.pras,738.47,0.97537
A.pras,738.744,0.97438
A.pras,739.018,0.97489
A.pras,739.292,0.97662
A.pras,739.566,0.9756
A.pras,739.839,0.97549
A.pras,740.113,0.97667
A.pras,740.387,0.97509
A.pras,740.661,0.97542
A.pras,740.935,0.97701
A.pras,741.209,0.97615
A.pras,741.482,0.97557
A.pras,741.756,0.97663
A.pras,742.03,0.97637
A.pras,742.304,0.97701
A.pras,742.578,0.9773
A.pras,742.851,0.97642
A.pras,743.125,0.97567
A.pras,743.399,0.97597
A.pras,743.673,0.97649
A.pras,743.947,0.97678
A.pras,744.22,0.97747
A.pras,744.494,0.97512
A.pras,744.768,0.9764
A.pras,745.042,0.9764
A.pras,745.315,0.97636
